"frequency";"r dB(S[2,1])";"i dB(S[2,1])"
1000;-0.000309927;0
1031.39;-0.000314963;0
1063.77;-0.000320083;0
1097.17;-0.000325289;0
1131.62;-0.000330584;0
1167.14;-0.000335968;0
1203.78;-0.000341443;0
1241.58;-0.000347011;0
1280.56;-0.000352674;0
1320.76;-0.000358434;0
1362.22;-0.000364291;0
1404.99;-0.000370248;0
1449.1;-0.000376307;0
1494.59;-0.000382469;0
1541.51;-0.000388737;0
1589.91;-0.000395112;0
1639.82;-0.000401596;0
1691.3;-0.000408192;0
1744.4;-0.000414902;0
1799.17;-0.000421727;0
1855.65;-0.000428669;0
1913.91;-0.000435732;0
1973.99;-0.000442916;0
2035.96;-0.000450225;0
2099.88;-0.000457661;0
2165.81;-0.000465226;0
2233.8;-0.000472922;0
2303.93;-0.000480753;0
2376.26;-0.00048872;0
2450.86;-0.000496826;0
2527.81;-0.000505074;0
2607.16;-0.000513467;0
2689.02;-0.000522006;0
2773.44;-0.000530696;0
2860.51;-0.000539539;0
2950.31;-0.000548538;0
3042.93;-0.000557695;0
3138.46;-0.000567015;0
3236.99;-0.000576499;0
3338.62;-0.000586152;0
3443.43;-0.000595976;0
3551.54;-0.000605975;0
3663.04;-0.000616153;0
3778.03;-0.000626512;0
3896.64;-0.000637057;0
4018.98;-0.00064779;0
4145.15;-0.000658717;0
4275.29;-0.000669839;0
4409.51;-0.000681163;0
4547.94;-0.00069269;0
4690.72;-0.000704426;0
4837.98;-0.000716375;0
4989.87;-0.000728541;0
5146.52;-0.000740928;0
5308.09;-0.00075354;0
5474.74;-0.000766383;0
5646.62;-0.000779461;0
5823.89;-0.000792778;0
6006.73;-0.00080634;0
6195.3;-0.000820151;0
6389.8;-0.000834217;0
6590.41;-0.000848543;0
6797.31;-0.000863134;0
7010.71;-0.000877995;0
7230.8;-0.000893133;0
7457.81;-0.000908553;0
7691.94;-0.00092426;0
7933.43;-0.000940261;0
8182.49;-0.000956563;0
8439.38;-0.00097317;0
8704.33;-0.00099009;0
8977.6;-0.00100733;0
