"frequency";"r dBS21";"i dBS21"
6e+08;-0.0291212;0
6.13976e+08;-0.0304941;0
6.28277e+08;-0.0319317;0
6.42912e+08;-0.0334371;0
6.57887e+08;-0.0350135;0
6.73211e+08;-0.0366642;0
6.88892e+08;-0.0383928;0
7.04939e+08;-0.0402029;0
7.21359e+08;-0.0420983;0
7.38161e+08;-0.0440832;0
7.55355e+08;-0.0461618;0
7.7295e+08;-0.0483383;0
7.90954e+08;-0.0506176;0
8.09378e+08;-0.0530043;0
8.28231e+08;-0.0555037;0
8.47523e+08;-0.058121;0
8.67264e+08;-0.0608618;0
8.87465e+08;-0.063732;0
9.08137e+08;-0.0667375;0
9.2929e+08;-0.0698849;0
9.50936e+08;-0.0731809;0
9.73086e+08;-0.0766324;0
9.95752e+08;-0.0802468;0
1.01895e+09;-0.0840318;0
1.04268e+09;-0.0879956;0
1.06697e+09;-0.0921464;0
1.09182e+09;-0.0964933;0
1.11725e+09;-0.101045;0
1.14328e+09;-0.105812;0
1.16991e+09;-0.110805;0
1.19716e+09;-0.116033;0
1.22504e+09;-0.121508;0
1.25358e+09;-0.127241;0
1.28278e+09;-0.133246;0
1.31266e+09;-0.139534;0
1.34323e+09;-0.14612;0
1.37452e+09;-0.153017;0
1.40654e+09;-0.16024;0
1.4393e+09;-0.167804;0
1.47283e+09;-0.175726;0
1.50713e+09;-0.184023;0
1.54224e+09;-0.192712;0
1.57816e+09;-0.201813;0
1.61492e+09;-0.211344;0
1.65254e+09;-0.221326;0
1.69103e+09;-0.231781;0
1.73042e+09;-0.242731;0
1.77073e+09;-0.2542;0
1.81197e+09;-0.266212;0
1.85418e+09;-0.278793;0
1.89737e+09;-0.29197;0
1.94156e+09;-0.305772;0
1.98679e+09;-0.320229;0
2.03306e+09;-0.335372;0
2.08042e+09;-0.351234;0
2.12888e+09;-0.367848;0
2.17847e+09;-0.385252;0
2.22921e+09;-0.403482;0
2.28114e+09;-0.422579;0
2.33427e+09;-0.442584;0
2.38864e+09;-0.46354;0
2.44428e+09;-0.485494;0
2.50122e+09;-0.508493;0
2.55948e+09;-0.532588;0
2.61909e+09;-0.557831;0
2.6801e+09;-0.584279;0
2.74253e+09;-0.611988;0
2.80641e+09;-0.641021;0
2.87178e+09;-0.67144;0
2.93867e+09;-0.703315;0
3.00712e+09;-0.736715;0
3.07717e+09;-0.771714;0
3.14884e+09;-0.808391;0
3.22219e+09;-0.846828;0
3.29725e+09;-0.88711;0
3.37405e+09;-0.929328;0
3.45264e+09;-0.973577;0
3.53306e+09;-1.01996;0
3.61536e+09;-1.06858;0
3.69957e+09;-1.11954;0
3.78574e+09;-1.17297;0
3.87393e+09;-1.22898;0
3.96416e+09;-1.28771;0
4.0565e+09;-1.3493;0
4.15099e+09;-1.41388;0
4.24767e+09;-1.4816;0
4.34662e+09;-1.55263;0
4.44786e+09;-1.62713;0
4.55147e+09;-1.70529;0
4.65748e+09;-1.78728;0
4.76597e+09;-1.87331;0
4.87698e+09;-1.96359;0
4.99058e+09;-2.05833;0
5.10683e+09;-2.15778;0
5.22578e+09;-2.26218;0
5.34751e+09;-2.3718;0
5.47207e+09;-2.48691;0
5.59953e+09;-2.60781;0
5.72996e+09;-2.73483;0
5.86342e+09;-2.86829;0
6e+09;-3.00856;0
6.13976e+09;-3.15601;0
6.28277e+09;-3.31107;0
6.42912e+09;-3.47416;0
6.57887e+09;-3.64576;0
6.73211e+09;-3.82637;0
6.88892e+09;-4.01655;0
7.04939e+09;-4.21686;0
7.21359e+09;-4.42795;0
7.38161e+09;-4.65049;0
7.55355e+09;-4.88523;0
7.7295e+09;-5.13296;0
7.90954e+09;-5.39455;0
8.09378e+09;-5.67092;0
8.28231e+09;-5.96311;0
8.47523e+09;-6.2722;0
8.67264e+09;-6.59938;0
8.87465e+09;-6.94592;0
9.08137e+09;-7.31318;0
9.2929e+09;-7.70262;0
9.50936e+09;-8.11577;0
9.73086e+09;-8.55422;0
9.95752e+09;-9.01964;0
1.01895e+10;-9.5137;0
1.04268e+10;-10.0381;0
1.06697e+10;-10.5944;0
1.09182e+10;-11.1843;0
1.11725e+10;-11.809;0
1.14328e+10;-12.4699;0
1.16991e+10;-13.168;0
1.19716e+10;-13.9038;0
1.22504e+10;-14.6779;0
1.25358e+10;-15.4902;0
1.28278e+10;-16.3404;0
1.31266e+10;-17.2278;0
1.34323e+10;-18.1515;0
1.37452e+10;-19.1101;0
1.40654e+10;-20.1022;0
1.4393e+10;-21.126;0
1.47283e+10;-22.1797;0
1.50713e+10;-23.2613;0
1.54224e+10;-24.3689;0
1.57816e+10;-25.5005;0
1.61492e+10;-26.6543;0
1.65254e+10;-27.8284;0
1.69103e+10;-29.0211;0
1.73042e+10;-30.2307;0
1.77073e+10;-31.4558;0
1.81197e+10;-32.6949;0
1.85418e+10;-33.9468;0
1.89737e+10;-35.2102;0
1.94156e+10;-36.4842;0
1.98679e+10;-37.7678;0
2.03306e+10;-39.0601;0
2.08042e+10;-40.3604;0
2.12888e+10;-41.6678;0
2.17847e+10;-42.9818;0
2.22921e+10;-44.3019;0
2.28114e+10;-45.6275;0
2.33427e+10;-46.9581;0
2.38864e+10;-48.2933;0
2.44428e+10;-49.6328;0
2.50122e+10;-50.9761;0
2.55948e+10;-52.3231;0
2.61909e+10;-53.6734;0
2.6801e+10;-55.0268;0
2.74253e+10;-56.383;0
2.80641e+10;-57.7418;0
2.87178e+10;-59.1031;0
2.93867e+10;-60.4666;0
3.00712e+10;-61.8323;0
3.07717e+10;-63.1999;0
3.14884e+10;-64.5693;0
3.22219e+10;-65.9405;0
3.29725e+10;-67.3132;0
3.37405e+10;-68.6875;0
3.45264e+10;-70.0632;0
3.53306e+10;-71.4401;0
3.61536e+10;-72.8183;0
3.69957e+10;-74.1977;0
3.78574e+10;-75.5781;0
3.87393e+10;-76.9596;0
3.96416e+10;-78.342;0
4.0565e+10;-79.7253;0
4.15099e+10;-81.1095;0
4.24767e+10;-82.4945;0
4.34662e+10;-83.8802;0
4.44786e+10;-85.2667;0
4.55147e+10;-86.6538;0
4.65748e+10;-88.0416;0
4.76597e+10;-89.43;0
4.87698e+10;-90.819;0
4.99058e+10;-92.2085;0
5.10683e+10;-93.5985;0
5.22578e+10;-94.989;0
5.34751e+10;-96.38;0
5.47207e+10;-97.7714;0
5.59953e+10;-99.1632;0
5.72996e+10;-100.555;0
5.86342e+10;-101.948;0
6e+10;-103.341;0
